raw_samples,num_restarts,batch_limit,max_iter,status,final_hv,cumulative_runtime
128,10,5,100,Finished,114.93557962467395,601.5383658409119
256,10,5,100,OOM Error,114.94463241821225,497.7797999382019
512,10,5,100,Finished,114.90393317451947,717.1258969306946
1024,10,5,100,Finished,128.49832232485502,1762.3845791816711
256,5,5,100,Finished,114.73403570732,423.4223711490631
256,10,5,100,Finished,115.08905100494091,927.2296743392944
256,20,5,100,Finished,115.08032872482816,1693.3594059944153
256,50,5,100,OOM Error,114.89107934490193,4191.996632099152
256,10,1,100,Finished,114.99303410929957,1249.2932560443878
256,10,5,100,Finished,123.35320951267032,1053.4346377849579
256,10,10,100,OOM Error,97.63292731749871,71.20245218276978
256,10,20,100,OOM Error,111.02524616536374,177.58450388908386
256,10,5,50,Finished,114.88870763048918,486.92243337631226
256,10,5,100,Finished,114.7094787559725,1212.7242684364319
256,10,5,200,Finished,125.03211589177405,2003.757001399994
256,10,5,500,OOM Error,120.73122214513552,2474.501520395279
