raw_samples,num_restarts,batch_limit,max_iter,status,final_hv,cumulative_runtime
128,10,5,100,Finished,128.95278054190922,250.10682106018066
256,10,5,100,Finished,124.11252718508727,353.9136564731598
512,10,5,100,Finished,129.03055660509122,280.90740966796875
1024,10,5,100,Finished,115.74142022303963,377.9385504722595
256,5,5,100,Finished,115.75135547214566,194.63472652435303
256,10,5,100,Finished,115.7276657161328,383.54189133644104
256,20,5,100,Finished,115.74954288002127,770.948673248291
256,50,5,100,Finished,115.76467489295871,2280.575631380081
256,10,1,100,Finished,115.74302532658253,764.807806968689
256,10,5,100,Finished,115.71386298953297,380.670312166214
256,10,10,100,Finished,128.93038193756973,199.2508738040924
256,10,20,100,Finished,129.02108372377663,147.84079885482788
256,10,5,50,Finished,115.74509780076501,288.7135624885559
256,10,5,100,Finished,115.7409974193135,361.696076631546
256,10,5,200,Finished,115.76912338328462,405.93246030807495
256,10,5,500,Finished,115.72864364977131,398.0958697795868
